Prompt,BIO Tags
سلام یک دکتر فوق تخصص زنان خانوم تو اصفهان سمت چهارباغ بالا میخوام که کارش خوب باشه و اکثرا ازش راضی بوده باشن و برای فردا بهم نوبت بده و تایم انتظار توی مطب کمتر از نیم ساعت باشه,O O O B-ScientificRate I-ScientificRate B-Specialty O O B-City O B-Neighborhood I-Neighborhood O O O B-Trait O B-ScientificRate O O B-Trait O O B-ScientificRate O B-Appointment O O O B-ScientificRate O O O O B-WaitingTime I-WaitingTime B-WaitingTime I-WaitingTime O
سلام. یک متخصص مو داخل قم سمت پارک ملی برام پیدا کن که معاینه م کنه و مشکل ریزش مو روحضوری کامل برام حل کنه برام و اطلاعات کافی برای نگهداری مو هام رو بهم بده و حداکثز نیم ساعت اتلاف وقت داشته باشه.,O O B-ScientificRate B-Condition O B-City O B-Neighborhood I-Neighborhood O O O O B-Service B-Condition O B-Condition O B-Condition I-Condition O O O O O O B-Condition O O O O B-Condition O O O O B-Condition O B-WaitingTime I-WaitingTime O O O O
سلام. یک تخصص پوست و مو مرد درون قم سمت پارک ملی برام پیدا کن که همین ماه مشکل ریزش مو رو کامل حل کنه برام و اطلاعات کافی برای نگهداری مو هام رو بهم بده و به بیمارش توجه کافی داشته باشه.,O O B-ScientificRate B-Specialty B-Condition I-Condition B-Gender O B-City O B-Neighborhood I-Neighborhood O O O O B-Appointment I-Appointment O B-Condition I-Condition O O O O O B-Condition O B-Trait O O B-Condition O O O O B-Condition O O B-Trait I-Trait O O
سلام، یک متخصص تغذیه شهر علویجه معرفی کن با تامین اجتماعی قرارداد داشته باشه و برای لاغری کارش معتبر باشه.,O O O B-Specialty O B-City O O O B-Insurance I-Insurance O O O B-City O B-Condition O B-Trait O
سلام، یک متخصص تغذیه مرد شهر گراش معرفی کن برای مشکل چاقی معروف باشه و شنبه ساعت 8 صبح بهم نوبت بده 15 دقیقه میتونم تو مطب منتظر بمونم.,O O O B-Specialty B-Gender O B-City O O O O B-Condition O O O B-Appointment I-Appointment O B-Appointment O O O O B-WaitingTime O O O O O
سلام، یک پزشک عمومی تو یاسوج معرفی کن برای حساسیت فصلی,O O O B-Specialty O B-City O O O B-Condition I-Condition
دنبال یک خانم دکتر شوخ میگردم برای کمک به سردردم در شهر اصفهان به‌صورت آنلاین,O O B-Gender O B-Trait O O O O O B-Condition O B-City O B-VisitType
سلام یه دکتر متخصص سمت سینما سعدی شیراز واسه معده درد بهم معرفی کن که تا فردا بهم نوبت بده و طرف قرارداد بیمه بانک ملی باشه. ترجیحا بیشتر از یک ساعت تو مطب معطل نشم,O O O B-ScientificRate O B-Neighborhood I-Neighborhood B-City O B-Condition I-Condition O O O O O B-Appointment O O O O O O O B-Insurance I-Insurance O O O B-City B-WaitingTime I-WaitingTime O O O O
سلام. لطفا یه دندانپزشک فوق تخصص عصب‌کشی خانم تو اصفهان نزدیک محله کاوه پیدا کن که باحوصله باشه و با بیماری که ترس زیاد داره راه بیاد، و مطبش با بیمه تامین اجتماعی یا نیروهای مسلح طرف قرارداد باشه. کارم فوری هست، اولین نوبتش حداقل تا یکی دو روز آینده باشه. ,O O O B-Specialty B-ScientificRate I-ScientificRate B-Service B-Gender O B-City O O B-Neighborhood O O O B-Trait O B-Neighborhood B-Trait O O B-Trait I-Trait O B-Trait O B-Neighborhood O B-Trait O B-Insurance I-Insurance B-Trait B-Insurance I-Insurance O O O O O O O O O B-Insurance B-Appointment I-Appointment B-Appointment I-Appointment O
سلام برای من یک پزشک برای مشکل بوی دهان پیدا کن ,O O O O O O O B-Condition I-Condition O O
