سلام,O
دنبال,O
یه,O
دکتر,O
فوق,B-srt
تخصص,I-srt
ریه,B-spy
داخل,O
بندر,B-cty
انزلی,I-cty
هستم,O
که,O
تجربه,B-trt
بالایی,I-trt
داشته,O
باشه,O
و,O
فردا,B-apt
صبح,I-apt
نوبت,O
بده.,O
یه,O
متخصص,B-srt
کلیه,B-spy
در,O
ارومیه,B-cty
می‌خوام,O
که,O
تو,O
درمان,O
نارسایی,B-cnd
کلیه,I-cnd
مهارت,B-trt
داشته,O
باشه,O
و,O
هفته,B-apt
بعد,I-apt
نوبت,O
بده.,O
لطفاً,O
یه,O
دکتر,O
متخصص,B-srt
غدد,B-spy
توی,O
بروجرد,B-cty
برام,O
پیدا,O
کنید,O
که,O
تو,O
کارش,O
خبره,B-trt
باشه,O
و,O
سریع,B-apt
نوبت,O
بده.,O
یه,O
دکتر,O
مغز,B-spy
و,O
اعصاب,B-spy
توی,O
ساری,B-cty
می‌خوام,O
که,O
در,O
درمان,O
صرع,B-cnd
تخصص,O
داشته,O
باشه,O
و,O
سه,B-apt
روز,I-apt
دیگه,O
نوبت,O
بده.,O
توی,O
زنجان,B-cty
دنبال,O
یک,O
متخصص,B-srt
ارتوپدی,B-spy
می‌گردم,O
که,O
تجربه,B-trt
زیادی,I-trt
داشته,O
باشه,O
و,O
نوبت,O
برای,O
آخر,B-apt
هفته,I-apt
بده.,O
یه,O
متخصص,B-srt
روماتولوژی,B-spy
در,O
کاشان,B-cty
نیاز,O
دارم,O
که,O
کارش,O
عالی,B-trt
باشه,O
و,O
برای,O
دو,B-apt
هفته,I-apt
بعد,O
نوبت,O
بده.,O
سلام،,O
توی,O
قزوین,B-cty
یه,O
متخصص,B-srt
تغذیه,B-spy
لازم,O
دارم,O
که,O
برای,O
کاهش,B-cnd
وزن,I-cnd
مشاوره,O
بده,O
و,O
ماه,B-apt
آینده,I-apt
وقت,O
داشته,O
باشه.,O
یه,O
متخصص,B-srt
غدد,B-spy
در,O
اردبیل,B-cty
می‌خوام,O
که,O
توی,O
خیابان,B-nhd
امام,I-nhd
مطب,O
داشته,O
باشه,O
و,O
سریع,B-apt
نوبت,O
بده.,O
لطفاً,O
یه,O
متخصص,B-srt
اطفال,B-spy
تو,O
خرم,B-cty
آباد,I-cty
برام,O
پیدا,O
کنید,O
که,O
تجربه,B-trt
کافی,I-trt
در,O
درمان,O
کودکان,B-cnd
بیمار,I-cnd
داشته,O
باشه,O
و,O
فردا,B-apt
نوبت,O
بده.,O
تو,O
بجنورد,B-cty
دنبال,O
یه,O
متخصص,B-srt
زنان,B-spy
هستم,O
که,O
برای,O
بارداری,B-cnd
مشاوره,O
بده,O
و,O
نوبت,O
برای,O
هفته,B-apt
آینده,I-apt
داشته,O
باشه.,O
یه,O
دکتر,O
چشم,B-spy
پزشک,O
تو,O
یزد,B-cty
می‌خوام,O
که,O
تجربه,B-trt
زیادی,I-trt
در,O
جراحی,B-cnd
چشم,I-cnd
داشته,O
باشه,O
و,O
برای,O
آخر,B-apt
هفته,I-apt
نوبت,O
بده.,O
داخل,O
زاهدان,B-cty
دنبال,O
یک,O
متخصص,B-srt
گوش,B-spy
و,O
حلق,B-spy
و,O
بینی,B-spy
می‌گردم,O
که,O
دو,B-apt
هفته,I-apt
بعد,O
نوبت,O
بده.,O
نیاز,O
به,O
یه,O
فوق,B-srt
متخصص,I-srt
پوست,B-spy
و,O
مو,B-spy
توی,O
کرمان,B-cty
دارم,O
که,O
توی,O
خیابان,B-nhd
مطهری,I-nhd
مطب,O
داشته,O
باشه,O
و,O
فردا,B-apt
عصر,I-apt
نوبت,O
بده.,O
سلام،,O
یه,O
دکتر,O
فلوشیپ,B-srt
زنان,O
در,O
اردکان,B-cty
می‌خوام,O
که,O
تو,O
درمان,O
نازایی,B-cnd
مهارت,O
داشته,O
باشه,O
و,O
ماه,B-apt
بعد,I-apt
وقت,O
بده.,O
توی,O
سنندج,B-cty
دنبال,O
یه,O
فلوشیپ,B-srt
ریه,B-spy
می‌گردم,O
که,O
مهارت,B-trt
کافی,I-trt
در,O
درمان,O
عفونت‌های,B-cnd
شدید,I-cnd
داشته,O
باشه,O
و,O
هفته,B-apt
آینده,I-apt
نوبت,O
بده.,O
سلام،,O
یه,O
متخصص,B-srt
اعصاب,B-spy
و,O
روان,B-spy
تو,O
شهرکرد,B-cty
می‌خوام,O
که,O
خیلی,O
حرفه‌ای,B-trt
باشه,O
و,O
ماه,B-apt
بعد,I-apt
نوبت,O
بده.,O
یه,O
دکتر,O
فوق,B-srt
تخصص,I-srt
قلب,B-spy
و,O
عروق,B-spy
تو,O
بوشهر,B-cty
لازم,O
دارم,O
که,O
نوبت,O
برای,O
دو,B-apt
روز,I-apt
دیگه,O
بده.,O
