,sentence,label
0,سلام یک دکتر فوق تخصص زنان خانوم تو اصفهان سمت چهارباغ بالا میخوام که کارش خوب باشه و اکثرا ازش راضی بوده باشن و برای فردا بهم نوبت بده و تایم انتظار توی مطب کمتر از نیم ساعت باشه,"O,O,O,B-srt,I-srt,B-spy,B-gnd,O,B-cty,O,B-nhd,I-nhd,O,O,O,B-trt,O,O,O,O,B-trt,O,O,O,O,B-apt,O,O,O,O,O,O,O,O,B-wtt,I-wtt,I-wtt,I-wtt,O"
1,سلام . یک متخصص مو داخل قم سمت پارک ملی برام پیدا کن که معاینه م کنه و مشکل ریزش مو رو حضوری کامل برام حل کنه برام و اطلاعات کافی برای نگهداری مو هام رو بهم بده و حداکثز نیم ساعت اتلاف وقت داشته باشه .,"O,O,O,B-srt,B-spy,O,B-cty,O,B-nhd,I-nhd,O,O,O,O,O,O,O,O,O,B-cnd,I-cnd,O,B-vtp,O,O,O,O,O,O,B-cnd,I-cnd,I-cnd,I-cnd,I-cnd,O,O,O,O,O,B-wtt,I-wtt,I-wtt,O,O,O,O,O"
2,سلام . یک تخصص پوست و مو مرد درون قم سمت پارک ملی برام پیدا کن که همین ماه مشکل ریزش مو رو کامل حل کنه برام و اطلاعات کافی برای نگهداری مو هام رو بهم بده و به بیمارش توجه کافی داشته باشه .,"O,O,O,B-srt,B-spy,O,B-spy,B-gnd,O,B-cty,O,B-nhd,I-nhd,O,O,O,O,B-apt,I-apt,O,B-cnd,I-cnd,O,O,O,O,O,O,B-cnd,I-cnd,I-cnd,I-cnd,I-cnd,O,O,O,O,O,O,O,B-trt,I-trt,O,O,O"
3,سلام ، یک متخصص تغذیه شهر علویجه معرفی کن با تامین اجتماعی قرارداد داشته باشه و برای لاغری کارش معتبر باشه .,"O,O,O,B-srt,B-spy,O,B-cty,O,O,O,B-inc,I-inc,O,O,O,O,O,B-cnd,O,B-trt,O,O"
4,سلام ، یک متخصص تغذیه مرد شهر گراش معرفی کن برای مشکل چاقی معروف باشه و شنبه ساعت 8 صبح بهم نوبت بده 15 دقیقه میتونم تو مطب منتظر بمونم .,"O,O,O,B-srt,B-spy,B-gnd,O,B-cty,O,O,O,O,B-cnd,B-trt,O,O,B-apt,I-apt,I-apt,I-apt,O,O,O,B-wtt,I-wtt,O,O,O,O,O,O"
5,سلام ، یک پزشک عمومی تو یاسوج معرفی کن برای حساسیت فصلی,"O,O,O,O,B-spy,O,B-cty,O,O,O,B-cnd,I-cnd"
6,دنبال یک خانم دکتر شوخ میگردم برای کمک به سردردم در شهر اصفهان به صورت آنلاین,"O,O,B-gnd,O,B-trt,O,O,O,O,B-cnd,O,O,B-cty,O,O,B-vtp"
7,سلام یه دکتر متخصص سمت سینما سعدی شیراز واسه معده درد بهم معرفی کن که تا فردا بهم نوبت بده و طرف قرارداد بیمه بانک ملی باشه . ترجیحا بیشتر از یک ساعت تو مطب معطل نشم,"O,O,O,B-srt,O,B-nhd,I-nhd,B-cty,O,B-cnd,I-cnd,O,O,O,O,O,B-apt,O,O,O,O,O,O,O,B-inc,I-inc,O,O,O,B-wtt,I-wtt,I-wtt,I-wtt,O,O,O,O"
8,سلام . لطفا یه دندانپزشک فوق تخصص عصب کشی خانم تو اصفهان نزدیک محله کاوه پیدا کن که باحوصله باشه و با بیماری که ترس زیاد داره راه بیاد ، و مطبش با بیمه تامین اجتماعی یا نیروهای مسلح طرف قرارداد باشه . کارم فوری هست ، اولین نوبتش حداقل تا یکی دو روز آینده باشه .,"O,O,O,O,B-spy,B-srt,I-srt,B-cnd,I-cnd,B-gnd,O,B-cty,O,O,B-nhd,O,O,O,B-trt,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-inc,I-inc,O,B-inc,I-inc,O,O,O,O,O,B-apt,O,O,O,O,O,O,B-apt,I-apt,I-apt,I-apt,O,O"
9,سلام برای من یک پزشک برای مشکل بوی دهان پیدا کن,"O,O,O,O,O,O,O,B-cnd,I-cnd,O,O"
