,sentence,label
0,سلام . یک فوق تخصص پوست خانوم واسه هفته آینده توی شیراز برام پیدا کن که طرفای باغ حوض بشینه و خیلی ماهر و خوش برخورد باشه . و تحت پوشش بیمه بانک باشه,"O,O,O,B-srt,I-srt,B-spy,B-gnd,O,B-apt,I-apt,O,B-cty,O,O,O,O,O,B-nhd,I-nhd,O,O,O,B-trt,O,B-trt,I-trt,O,O,O,O,O,O,B-inc,O"
1,سلام . یک فوق تخصص پوست مرد شیرازی برای بلفاروپلاستی و لیزر صورت پیدا کن که سمت عفیف آباد باشه و خوش برخورد و مهربان باشه . و تحت پوشش بیمه تجارت باشه و حدود نیم ساعت بیشتر تو مطب منتظر نمونم .,"O,O,O,B-srt,I-srt,B-spy,B-gnd,B-cty,O,B-cnd,O,B-cnd,I-cnd,O,O,O,O,B-nhd,I-nhd,O,O,B-trt,I-trt,O,B-trt,O,O,O,O,O,O,B-inc,O,O,O,B-wtt,I-wtt,O,O,O,O,O,O"
2,سلام یک متخصص جراح ترجیحا آقا توی شیراز بلوار کریم خان زند برام پیدا کن که طرف قرارداد بانک ملی باشه و مشکل انسداد روده من رو رفع کنه حداکثر تا فردا بتونه من رو بصورت حضوری ویزیت کنه,"O,O,B-srt,B-spy,O,B-gnd,O,B-cty,B-nhd,I-nhd,I-nhd,I-nhd,O,O,O,O,O,O,B-inc,I-inc,O,O,O,B-cnd,I-cnd,O,O,O,O,B-apt,I-apt,I-apt,O,O,O,O,B-vtp,O,O"
3,سلام یک متخصص گوش و حلق و بینی برای اختلالات گوش میانی توی کلاردشت برام پیدا کن که حداکثر تا ۱۵ شهریور ۱۴۰۳منو به صورت حضوری ویزیت کنه و طرف قرار داد بیمه سلامت باشه و کمتر از یک ساعت در مطب معطل بشم .,"O,O,B-srt,B-spy,O,B-spy,O,B-spy,O,B-cnd,I-cnd,I-cnd,O,B-cty,O,O,O,O,O,O,B-apt,I-apt,O,O,O,B-vtp,O,O,O,O,O,O,O,B-inc,O,O,B-wtt,I-wtt,I-wtt,I-wtt,O,O,O,O,O"
4,سلام من یک دندون پزشک فوق تخصص برای کج بودن دندان در اراک به سمت میدان امام میخوام که خوش اخلاق باشه و ارتودنسی انجام بده و بیمه دانا قبول کنه,"O,O,O,B-spy,I-spy,B-srt,I-srt,O,B-cnd,I-cnd,I-cnd,O,B-nhd,O,O,B-nhd,I-nhd,O,O,B-trt,I-trt,O,O,B-cnd,O,O,O,O,B-inc,O,O"
5,سلام ، یک متخصص تغذیه مرد شهر گراش معرفی کن برای مشکل چاقی معروف باشه و شنبه ساعت 8 صبح بهم نوبت بده 15 دقیقه میتونم تو مطب منتظر بمونم .,"O,O,O,B-srt,B-spy,B-gnd,O,B-cty,O,O,O,O,B-cnd,B-trt,O,O,B-apt,I-apt,I-apt,I-apt,O,O,O,B-wtt,I-wtt,O,O,O,O,O,O"
6,سلام لطفا یک پزشک متخصص قلب در شیراز در خیابان سینما سعدی که اکو و تست ورزش انجام بده و خوش اخلاق باشه بهم معرفی کنید,"O,O,O,O,B-srt,B-spy,O,B-cty,O,B-nhd,I-nhd,I-nhd,O,B-cnd,O,B-cnd,I-cnd,O,O,O,B-trt,I-trt,O,O,O,O"
7,یک متخصص خانم طب سوزنی برای لاغری در بزرگمهر اصفهان می خوام به صورت غیر حضوری تا فردا و با معطلی کم و بیمه تامین اجتماعی نیز قبول کند .,"O,B-srt,B-gnd,B-spy,I-spy,O,B-cnd,O,B-nhd,B-cty,O,O,O,O,B-vtp,I-vtp,O,B-apt,O,O,O,B-wtt,O,O,B-inc,I-inc,O,O,O,O"
8,سلام . یه متخصص تغذیه خانم میخوام اصفهان سمت دروازه شیراز که کارش خیلی خوب باشه و سریع لاغر بشم,"O,O,O,B-srt,B-spy,B-gnd,O,B-cty,O,B-nhd,I-nhd,O,O,B-trt,I-trt,O,O,B-trt,B-cnd,O"
9,سلام لطفا یک پزشک فوق متخصص گوارش در شهر شیراز محله زند که آندوسکوپی و کولونوسکوپی انجام بده بهم معرفی کنید,"O,O,O,O,B-srt,I-srt,B-spy,O,O,B-cty,O,B-nhd,O,B-cnd,O,B-cnd,O,O,O,O,O"
