sentence,label
یک دکتر مرد خوب برای ارتوپد در کرمانشاه سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
آیا می توانید یک دکتر برای آسم معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O"
کسی یک دکتر مرد برای افسردگی در خرم آباد یا مشهد می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,I-cit,O,B-cit,O,O,O"
آیا می توانید یک دکتر برای روانپزشکی معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O"
آیا می توانید یک دکتر برای زنان معرفی کنید ؟,"O,O,O,O,O,O,B-gen,O,O,O"
کسی دکتری برای ارتوپد در ارومیه می شناسه ؟,"O,O,O,O,O,B-cit,O,O,O"
کسی یک دکتر خانم برای اعصاب در تهران یا قم می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
بهترین دکتر مرد در کرمانشاه برای زنان چه کسی است ?,"O,O,B-gen,O,B-cit,O,B-gen,O,O,O,O"
آیا دکتری مرد در اهواز برای گوارش می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O"
بهترین دکتر مرد برای کودکان در تهران کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
یک دکتر خانم خوب برای آسم در ارومیه سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
کسی متخصص پوست در همدان رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
به نظر شما دکتر مرد برای گوش و حلق و بینی در تهران بهتر است یا زنجان ؟,"O,O,O,O,B-gen,O,O,O,O,O,O,O,B-cit,O,O,O,B-cit,O"
من دنبال یک دکتر زن برای ارتوپد در اراک یا کرج می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
بهترین دکتر زن در اهواز برای مشکلات قلبی چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O,O"
کسی متخصص پوست در ارومیه رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
بهترین دکتر مرد برای مشکلات قلبی در خرم آباد یا قم کیه ؟,"O,O,B-gen,O,O,O,O,B-cit,I-cit,O,B-cit,O,O"
بهترین دکتر برای اعصاب در اراک کیه ؟,"O,O,O,O,O,B-cit,O,O"
یک متخصص برای گوش و حلق و بینی در رشت سراغ دارید ؟,"O,O,O,O,O,O,O,O,O,B-cit,O,O,O"
آیا دکتری زن در زنجان برای افسردگی می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O"
کسی یک دکتر مرد برای روماتیسم در شیراز می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
کسی متخصص روانپزشکی در همدان رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
کسی متخصص سرطان در رشت رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
بهترین دکتر مرد در ارومیه برای افسردگی چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O"
بهترین دکتر خانم در زنجان برای ارتوپد چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O"
من دنبال یک دکتر زن برای سرطان در مشهد یا ارومیه می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
به یک دکتر خوب برای اعصاب نیاز دارم .,"O,O,O,O,O,O,O,O,O"
کسی متخصص گوش و حلق و بینی در ساری رو می شناسه ؟,"O,O,O,O,O,O,O,O,B-cit,O,O,O,O"
یک دکتر مرد خوب برای دیابت در بوشهر سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
دنبال دکتر خوبی برای دیابت می گردم .,"O,O,O,O,O,O,O,O"
دنبال یک دکتر مرد متخصص سرطان در تبریز هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
بهترین دکتر برای گوارش در خرم آباد کیه ؟,"O,O,O,O,O,B-cit,I-cit,O,O"
دنبال دکتر خوبی برای افسردگی می گردم .,"O,O,O,O,O,O,O,O"
یک متخصص برای اعصاب در تبریز سراغ دارید ؟,"O,O,O,O,O,B-cit,O,O,O"
کسی یک دکتر خانم برای روماتیسم در ارومیه یا اردبیل می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
به نظر شما دکتر خانم برای روانپزشکی در تبریز بهتر است یا بوشهر ؟,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O,B-cit,O"
دنبال دکتر خوبی برای زنان می گردم .,"O,O,O,O,B-gen,O,O,O"
یک دکتر مرد خوب برای مشکلات قلبی در اردبیل یا کرمانشاه سراغ دارید ؟,"O,O,B-gen,O,O,O,O,O,B-cit,O,B-cit,O,O,O"
کسی متخصص گوش و حلق و بینی در زنجان رو می شناسه ؟,"O,O,O,O,O,O,O,O,B-cit,O,O,O,O"
بهترین دکتر برای چشم در ساری کیه ؟,"O,O,O,O,O,B-cit,O,O"
کسی یک دکتر مرد برای دیابت در بوشهر می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
کسی متخصص مشکلات قلبی در زنجان رو می شناسه ؟,"O,O,O,O,O,B-cit,O,O,O,O"
لطفاً یک دکتر زن برای درمان افسردگی در اراک معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
یک دکتر برای ارتوپد در همدان معرفی می کنید ؟,"O,O,O,O,O,B-cit,O,O,O,O"
آیا دکتری مرد در تهران برای افسردگی می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O"
بهترین دکتر زن در اصفهان برای پوست چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O"
دنبال یک دکتر مرد متخصص ارتوپد در اهواز هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
آیا دکتری زن در تهران برای سرطان می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O"
یک دکتر زن خوب برای روانپزشکی در ساری یا زنجان سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
به یک دکتر خوب برای اعصاب نیاز دارم .,"O,O,O,O,O,O,O,O,O"
من دنبال یک دکتر مرد برای آسم در اصفهان می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
من دنبال یک دکتر خانم برای آسم در ساری می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
بهترین دکتر مرد برای دیابت در رشت کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
لطفاً یک دکتر خانم برای درمان گوش و حلق و بینی در مشهد یا اراک معرفی کنید .,"O,O,O,B-gen,O,O,O,O,O,O,O,O,B-cit,O,B-cit,O,O,O"
یک دکتر برای پوست در اهواز معرفی می کنید ؟,"O,O,O,O,O,B-cit,O,O,O,O"
به یک دکتر خوب برای اعصاب نیاز دارم .,"O,O,O,O,O,O,O,O,O"
دنبال یک دکتر زن متخصص افسردگی در شیراز هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
به یک دکتر خوب برای پوست نیاز دارم .,"O,O,O,O,O,O,O,O,O"
من به یک دکتر برای درمان افسردگی نیاز دارم .,"O,O,O,O,O,O,O,O,O,O"
بهترین دکتر مرد در کرج برای مشکلات قلبی چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O,O"
کسی یک دکتر مرد برای روماتیسم در بوشهر می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
من به یک دکتر برای درمان آسم نیاز دارم .,"O,O,O,O,O,O,O,O,O,O"
کسی یک دکتر زن برای دیابت در اهواز یا ساری می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
یک دکتر مرد خوب برای چشم در بوشهر یا همدان سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
کسی دکتری برای چشم در تبریز می شناسه ؟,"O,O,O,O,O,B-cit,O,O,O"
من به یک دکتر برای درمان روانپزشکی نیاز دارم .,"O,O,O,O,O,O,O,O,O,O"
من دنبال یک دکتر مرد برای مشکلات قلبی در قم می گردم .,"O,O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
دنبال یک دکتر مرد متخصص روماتیسم در زنجان هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
دنبال دکتر خوبی برای مشکلات قلبی می گردم .,"O,O,O,O,O,O,O,O,O"
بهترین دکتر خانم در یزد برای مشکلات قلبی چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O,O"
